Logical Clock; Device Time; Event Code; Signal; Info; Segment Id; Event Code Id; Device Id; Signal Id
0; 2020-01-01 00:00:00; Time_Segment_Start; ; ; 8; 9; {C0E942B9-3928-4B81-9B43-A34766820042}; {00000000-0000-0000-0000-000000000000}
1; 2020-01-01 00:00:00; Level; Bergman extended minimal model - interstitial fluid; 5.27245; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
2; 2020-01-01 00:00:00; Level; Bergman extended minimal model - blood; 5.54994; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
3; 2020-01-01 00:00:00; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
4; 2020-01-01 00:00:00; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
5; 2020-01-01 00:00:00; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
6; 2020-01-01 00:00:00; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
7; 2020-01-01 00:00:00; Level; Null (discards the events); 0; 8; 2; {C0E942B9-3928-4B81-9B43-A34766820042}; {706E7FDB-8F22-486F-BFA5-6A56D3514209}
9; 2020-01-01 00:04:59; Level; Bergman extended minimal model - interstitial fluid; 5.24837; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
10; 2020-01-01 00:04:59; Level; Bergman extended minimal model - blood; 4.28189; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
11; 2020-01-01 00:04:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
12; 2020-01-01 00:04:59; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
13; 2020-01-01 00:04:59; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
14; 2020-01-01 00:04:59; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
15; 2020-01-01 00:09:59; Level; Bergman extended minimal model - interstitial fluid; 5.09336; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
16; 2020-01-01 00:09:59; Level; Bergman extended minimal model - blood; 3.83362; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
17; 2020-01-01 00:09:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
18; 2020-01-01 00:09:59; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
19; 2020-01-01 00:09:59; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
20; 2020-01-01 00:09:59; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
21; 2020-01-01 00:14:59; Level; Bergman extended minimal model - interstitial fluid; 4.90562; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
22; 2020-01-01 00:14:59; Level; Bergman extended minimal model - blood; 3.66921; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
23; 2020-01-01 00:14:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
24; 2020-01-01 00:14:59; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
25; 2020-01-01 00:14:59; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
26; 2020-01-01 00:14:59; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
27; 2020-01-01 00:19:59; Level; Bergman extended minimal model - interstitial fluid; 4.72124; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
28; 2020-01-01 00:19:59; Level; Bergman extended minimal model - blood; 3.60831; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
29; 2020-01-01 00:19:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
30; 2020-01-01 00:19:59; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
31; 2020-01-01 00:19:59; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
32; 2020-01-01 00:19:59; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
33; 2020-01-01 00:24:59; Level; Bergman extended minimal model - interstitial fluid; 4.55191; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
34; 2020-01-01 00:24:59; Level; Bergman extended minimal model - blood; 3.58819; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
35; 2020-01-01 00:24:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
36; 2020-01-01 00:24:59; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
37; 2020-01-01 00:24:59; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
38; 2020-01-01 00:24:59; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
39; 2020-01-01 00:29:59; Level; Bergman extended minimal model - interstitial fluid; 4.40062; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
40; 2020-01-01 00:29:59; Level; Bergman extended minimal model - blood; 3.58675; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
41; 2020-01-01 00:29:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
42; 2020-01-01 00:29:59; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
43; 2020-01-01 00:29:59; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
44; 2020-01-01 00:29:59; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
45; 2020-01-01 00:34:59; Level; Bergman extended minimal model - interstitial fluid; 4.26737; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
46; 2020-01-01 00:34:59; Level; Bergman extended minimal model - blood; 3.59567; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
47; 2020-01-01 00:34:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
48; 2020-01-01 00:34:59; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
49; 2020-01-01 00:34:59; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
50; 2020-01-01 00:34:59; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
51; 2020-01-01 00:39:59; Level; Bergman extended minimal model - interstitial fluid; 4.15116; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
52; 2020-01-01 00:39:59; Level; Bergman extended minimal model - blood; 3.61145; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
53; 2020-01-01 00:39:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
54; 2020-01-01 00:39:59; Level; Bergman extended minimal model - IOB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {9CDDC004-12CA-4380-96FF-8319A8CE79A8}
55; 2020-01-01 00:39:59; Level; Bergman extended minimal model - Insulin activity; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {755CFD08-2B12-43B6-A455-58061568446E}
56; 2020-01-01 00:39:59; Level; Bergman extended minimal model - COB; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {3BD439F0-8B5A-4004-9B70-24E5E2523B7A}
57; 2020-01-01 00:44:59; Level; Bergman extended minimal model - interstitial fluid; 4.05072; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {582CFE11-68B9-4E5E-B50B-1978C077A84E}
58; 2020-01-01 00:44:59; Level; Bergman extended minimal model - blood; 3.63232; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {E1CD07EF-B079-4911-B79B-D203486101C8}
59; 2020-01-01 00:44:59; Level; Bergman extended minimal model - basal insulin; 0; 8; 2; {8114B2A6-B4B2-4C8D-A029-625CBDB682EF}; {FC556839-D6C0-4646-A346-0821D25F7E29}
